Temp,State,Name,FMP,SD,N
27º,Aposymbiotic,AH1a009.tif,4.8894404917698315,0.42891578192069607,923
27º,Aposymbiotic,AH1a012.tif,5.963313213325523,1.581697158582545,1037
27º,Aposymbiotic,AH1a015.tif,5.582920471521006,0.5499074008371129,843
27º,Aposymbiotic,AH1a017.tif,6.07929453320717,1.0552107863351834,549
27º,Aposymbiotic,AH1a020.tif,5.811394972993408,0.6299779508591872,386
27º,Aposymbiotic,AH1a021.tif,6.420796976414736,1.021240811719199,178
27º,Aposymbiotic,AH1a027.tif,7.560629075685063,0.9179964551255585,222
27º,Aposymbiotic,AH1a039.tif,6.397305375310015,0.5706803096339829,19
27º,Aposymbiotic,AH1a_b016.tif,3.629365552841148,0.6599090237682617,185
27º,Aposymbiotic,AH1a_b021.tif,3.6290876131689145,0.18242711857292626,28
27º,Aposymbiotic,AH1a_b023.tif,3.8791903394774705,0.4212294515153201,263
27º,Aposymbiotic,AH1b006.tif,4.035841165766048,0.2202066132806632,46
27º,Aposymbiotic,AH1b008.tif,8.224037240587666,0.6035406394700393,35
27º,Aposymbiotic,AH1b011.tif,5.309360021796119,0.3840509756393294,325
27º,Aposymbiotic,AH1b012.tif,5.627196671974328,0.49463421272445174,473
27º,Aposymbiotic,AH2_a012.tif,3.693830083598829,0.7447344323426103,671
27º,Aposymbiotic,AH2_a013.tif,3.4926179130059474,0.5864229993248633,736
27º,Aposymbiotic,AH2_a019.tif,3.6022502225925463,0.4476448030118377,446
27º,Aposymbiotic,AH2_b005.tif,4.4771288016799335,0.7783556729513151,621
27º,Aposymbiotic,AH2_b008.tif,3.8925147203994586,0.4683568793165512,395
27º,Aposymbiotic,AH2_b013.tif,4.053248172152275,0.5565705093314451,276
27º,Aposymbiotic,AH2_b015.tif,5.568181127458583,0.6047162592534308,155
27º,Aposymbiotic,AH2_c008.tif,3.060144217195476,0.2796510163758126,667
27º,Aposymbiotic,AH2_c013.tif,3.1781213837901117,0.30806866253025994,98
27º,Aposymbiotic,AH2_c024.tif,3.9723960376035685,0.5302129993000239,945
20º,Aposymbiotic,AW10005.tif,6.618784910849583,1.503988653005542,214
20º,Aposymbiotic,AW10007.tif,5.835019031798977,0.38076932884237374,57
20º,Aposymbiotic,AW10010.tif,7.311397919745596,1.310679129156152,449
20º,Aposymbiotic,AW10_b006.tif,5.328653953401931,1.0742944531596377,154
20º,Aposymbiotic,AW10_b008.tif,3.883451171305791,0.14061939666104803,30
20º,Aposymbiotic,AW10_b013.tif,4.058853769649316,0.3868025425909621,368
20º,Aposymbiotic,AW10_b022.tif,3.8379295720667614,0.469932557364085,473
20º,Aposymbiotic,AW10_b025.tif,4.506908573695747,0.5509353982841582,379
20º,Aposymbiotic,AW10_b030.tif,3.8375605341092793,0.35059294836501237,363
20º,Aposymbiotic,AW11007.tif,4.0305877317372305,0.3874143052315389,1030
20º,Aposymbiotic,AW11012.tif,3.0203424595373995,0.31413944168562,236
20º,Aposymbiotic,AW11016.tif,3.5936666926814804,0.4945025947456675,135
20º,Aposymbiotic,AW11029.tif,5.606536369249486,0.6848907605298815,1012
20º,Aposymbiotic,AW11033.tif,4.163666719611048,0.43097441941565745,985
20º,Aposymbiotic,AW11037.tif,5.4348675860035796,0.7052675904672078,204
20º,Aposymbiotic,AW11_c007.tif,4.20391108196908,0.46104079848043056,528
20º,Aposymbiotic,AW11_c010.tif,3.7884170687272927,0.46988955683110933,201
20º,Aposymbiotic,AW11_c015.tif,3.4196067252352744,0.24379167668724838,213
20º,Aposymbiotic,AW11_c027.tif,3.7323599559338803,0.3977629272292615,205
15º,Aposymbiotic,AC1a007.tif,5.283103423031437,0.539728770165691,469
15º,Aposymbiotic,AC1a011.tif,6.126400114999291,0.7553375609852263,811
15º,Aposymbiotic,AC1a017.tif,3.3830017250106152,0.342437487777599,443
15º,Aposymbiotic,AC1a018.tif,4.844612433570049,0.3375055353605587,153
15º,Aposymbiotic,AC1b007.tif,3.720204649579191,0.3429229799658508,858
15º,Aposymbiotic,AC1b010.tif,6.177463543315283,0.43105479268106495,733
15º,Aposymbiotic,AC1b015.tif,5.27225231919743,0.5062331789146454,918
15º,Aposymbiotic,AC1b025.tif,4.010821175712088,0.33847230386535804,963
15º,Aposymbiotic,AC1b_b006.tif,4.624520300744088,0.46739217234007235,760
15º,Aposymbiotic,AC1b_b008.tif,4.500610689945495,0.40806252012865385,849
15º,Aposymbiotic,AC1b_b013.tif,5.245884199854578,0.5573577793564592,1194
15º,Aposymbiotic,AC1b_c004.tif,4.818746681847543,0.47879209702949643,984
15º,Aposymbiotic,AC1b_c008.tif,3.8913699773139623,0.4166907106219302,1182
15º,Aposymbiotic,AC1b_c012.tif,3.978223584365903,0.5800962402980163,1055
15º,Aposymbiotic,AC1b_c015.tif,4.7745453734185626,1.0134822114627582,779
15º,Aposymbiotic,AC2010.tif,3.731721943639928,0.35360838028102537,1064
15º,Aposymbiotic,AC2014.tif,3.7631639466430684,0.4710996645277212,1040
15º,Aposymbiotic,AC2019.tif,4.0871920825536,0.33875418053261086,706
15º,Aposymbiotic,AC2020.tif,6.065719029111564,0.7283507737484144,986
15º,Aposymbiotic,AC2026.tif,10.083812990603699,1.1075413731720085,509
27º,Symbiotic,SH1a015.tif,2.769240973968083,0.2685458284564302,351
27º,Symbiotic,SH1a026.tif,3.146647057194812,0.16590742121225846,424
27º,Symbiotic,SH1a036.tif,2.7740521948188372,NA,1
27º,Symbiotic,SH1a037.tif,2.6583092469163003,0.17042630250383678,43
27º,Symbiotic,SH1b021.tif,5.488368183163781,0.3909276711837463,820
27º,Symbiotic,SH1b049.tif,3.5984199596100885,0.365496084185656,905
27º,Symbiotic,SH1b_a029.tif,4.5900585403448,0.7083026908169318,594
27º,Symbiotic,SH1b_a033.tif,6.597149250396108,0.9833022320635801,827
27º,Symbiotic,SH1b_b021.tif,3.9156393639295892,0.336418833478896,492
27º,Symbiotic,SH1b_b024.tif,3.0346884671381797,0.33468510819925534,659
27º,Symbiotic,SH1b_b026.tif,3.8775201243239583,0.7143689668525858,765
27º,Symbiotic,SH2010.tif,2.945517342572641,0.3103939732627203,546
27º,Symbiotic,SH2022.tif,4.709758649816521,0.35329739392211934,244
27º,Symbiotic,SH2030.tif,3.4528178047764624,0.4225043065824118,675
27º,Symbiotic,SH2033.tif,2.567582432561595,0.2797656873725671,607
27º,Symbiotic,SH2036.tif,3.0746895916004737,0.27010971346142204,367
27º,Symbiotic,SH2041.tif,3.6982835129681186,0.2591457569994306,197
27º,Symbiotic,SH2_b013.tif,4.991200029636129,0.537611621405741,217
27º,Symbiotic,SH2_b019.tif,4.17096940175521,0.5853923031778656,749
20º,Symbiotic,SW2007.tif,3.93827813832164,0.23079676835336055,52
20º,Symbiotic,SW2011.tif,4.071363434892226,0.4310785289299507,937
20º,Symbiotic,SW2013.tif,4.03306525663516,0.16024510334751718,5
20º,Symbiotic,SW2018.tif,4.420597883906977,0.5784910313103727,726
20º,Symbiotic,SW2021.tif,4.190760092658933,0.4639436780909275,523
20º,Symbiotic,SW2_b008.tif,3.5507609513380385,0.36034069027023197,218
20º,Symbiotic,SW2_b011.tif,2.9440675037490576,0.38035566908819535,157
20º,Symbiotic,SW2_b017.tif,2.8784632410535846,0.29201906011058215,199
20º,Symbiotic,SW2_c006.tif,5.960783074476683,0.9025444269044925,296
20º,Symbiotic,SW2_c011.tif,6.16066206353823,0.4280636585014554,607
20º,Symbiotic,SW2_c019.tif,7.869914426740307,1.214309667206651,1019
20º,Symbiotic,SW2_c024.tif,6.6688339027904036,0.5543378685993332,820
20º,Symbiotic,SW3005.tif,3.6169427718502063,0.27260346075640163,265
20º,Symbiotic,SW3008.tif,4.204896890628802,0.5953515028929632,481
20º,Symbiotic,SW3009.tif,5.6150150449794465,1.0584723429678473,1103
20º,Symbiotic,SW3012.tif,3.3043643506352773,0.35338453675412773,833
20º,Symbiotic,SW3016.tif,3.7839822245802255,0.4586868706944535,1006
20º,Symbiotic,SW3_b004.tif,4.362801848946467,0.30513280293403927,282
20º,Symbiotic,SW3_b006.tif,3.7741377729438512,0.6153986459600985,334
20º,Symbiotic,SW3_b007.tif,3.449033990037181,0.4079301746816552,395
20º,Symbiotic,SW3_b015.tif,4.35582947439815,0.635596756696643,130
20º,Symbiotic,SW3_b018.tif,4.539249201406851,0.3103038269556327,273
15º,Symbiotic,SC1_a009.tif,8.208340093531802,0.6633561832506957,118
15º,Symbiotic,SC1_a013.tif,9.647765795130047,1.13785394758811,63
15º,Symbiotic,SC1_a021.tif,5.326704544328278,0.5673937485092265,389
15º,Symbiotic,SC1_a024.tif,6.345620944553492,0.8817527640461613,841
15º,Symbiotic,SC1_a030.tif,6.287375141233211,1.387977205331374,581
15º,Symbiotic,SC1_b006.tif,4.300539275259693,0.6198056484829224,1016
15º,Symbiotic,SC1_b012.tif,5.164214982216352,0.5010050487801166,557
15º,Symbiotic,SC1_b017.tif,4.047242104669198,0.47175282364151283,1099
15º,Symbiotic,SC1_b019.tif,3.892150744727461,0.44552903356473283,602
15º,Symbiotic,SC1_b024.tif,4.232183560124083,0.6225107317145162,937
15º,Symbiotic,SC1_b029.tif,4.3164691698264335,0.19974762009746583,183
15º,Symbiotic,SC1_b034.tif,5.411588096376176,0.9710131220168112,417
15º,Symbiotic,SC1_c016.tif,4.91042485347345,0.5218315045501388,616
15º,Symbiotic,SC1_c017.tif,6.179806091378795,3.5911996260332084,434
15º,Symbiotic,SC1_c034.tif,4.129205009401587,0.4587395118100407,1111
15º,Symbiotic,SC1_c039.tif,4.05733616663587,0.5067731413063666,808
15º,Symbiotic,SC2_a008.tif,6.72583625104982,0.7035803267588611,714
15º,Symbiotic,SC2_a012.tif,4.954050809394132,0.4808065216815027,770
15º,Symbiotic,SC2_a026.tif,4.797720210378293,0.7321081337567242,1208
15º,Symbiotic,SC2_a032.tif,3.7509007365480507,0.6656860842548401,930
15º,Symbiotic,SC2_b010.tif,3.543866807515811,0.38648466321261277,429
15º,Symbiotic,SC2_b014.tif,5.038269748955429,0.4267945984555161,721
15º,Symbiotic,SC2_b022.tif,4.027710807009755,0.30413380691678144,515
15º,Symbiotic,SC2_b030.tif,4.597723197037501,0.6075151866706148,462
15º,Symbiotic,SC2_c011.tif,4.621855840422905,0.4296376106448847,1248
15º,Symbiotic,SC2_c017.tif,4.068115108541654,0.3303366258305929,1106
15º,Symbiotic,SC2_c021.tif,3.8612692424594166,0.45660073833234327,730
15º,Symbiotic,SC2_c033.tif,3.771040703280153,0.5628570635880924,542
